IMDB id,Title,Year,Rating,Genre,Top_cast
tt0441048,Dhoom 2,2006,6.5,"Action, Crime, Thriller","['Hrithik Roshan', 'Abhishek Bachchan', 'Aishwarya Rai Bachchan', 'Uday Chopra', 'Bipasha Basu']"
tt7725596,Badhaai Ho,2018,7.9,"Comedy, Drama","['Ayushmann Khurrana', 'Neena Gupta', 'Gajraj Rao', 'Sanya Malhotra', 'Surekha Sikri']"
tt6527426,Zero,2018,5.2,"Comedy, Drama, Romance","['Shah Rukh Khan', 'Anushka Sharma', 'Katrina Kaif', 'Mohd. Zeeshan Ayyub', 'Abhay Deol']"
tt2424988,Gabbar Is Back,2015,7.1,"Action, Crime, Drama","['Akshay Kumar', 'Shruti Haasan', 'Kareena Kapoor', 'Suman', 'Sunil Grover']"
tt2855648,Madras Cafe,2013,7.6,"Action, Drama, Thriller","['John Abraham', 'Nargis Fakhri', 'Raashi Khanna', 'Dinesh Prabhakar', 'Prakash Belawadi']"
tt0109555,Darr,1993,7.6,"Action, Drama, Romance","['Juhi Chawla', 'Sunny Deol', 'Shah Rukh Khan', 'Anupam Kher', 'Tanvi Azmi']"
tt1849718,Agneepath,2012,6.9,"Action, Crime, Drama","['Hrithik Roshan', 'Priyanka Chopra Jonas', 'Sanjay Dutt', 'Rishi Kapoor', 'Madhurjeet Sarghi']"
tt5165344,Rustom,2016,7.0,"Crime, Drama, Thriller","['Akshay Kumar', ""Ileana D'Cruz"", 'Arjan Bajwa', 'Esha Gupta', 'Pawan Malhotra']"
tt1729637,Bodyguard,2011,4.7,"Action, Comedy, Drama","['Salman Khan', 'Kareena Kapoor', 'Raj Babbar', 'Hazel Keech', 'Mohammad Faizan']"
tt4900716,Kapoor & Sons,2016,7.7,"Comedy, Drama, Family","['Rishi Kapoor', 'Rajat Kapoor', 'Ratna Pathak Shah', 'Fawad Khan', 'Sidharth Malhotra']"
tt0466460,Khosla Ka Ghosla!,2006,8.3,"Comedy, Crime, Drama","['Anupam Kher', 'Boman Irani', 'Parvin Dabas', 'Tara Sharma', 'Navin Nischol']"
tt8983202,Kabir Singh,2019,7.0,"Action, Drama, Romance","['Shahid Kapoor', 'Kiara Advani', 'Nikita Dutta', 'Soham Majumdar', 'Arjan Bajwa']"
tt0062803,Chitty Chitty Bang Bang,1968,6.9,"Adventure, Family, Fantasy","['Dick Van Dyke', 'Sally Ann Howes', 'Lionel Jeffries', 'Benny Hill', 'Gert Fröbe']"
tt0499375,Guru,2007,7.7,Drama,"['Mithun Chakraborty', 'Abhishek Bachchan', 'Aishwarya Rai Bachchan', 'Madhavan', 'Vidya Balan']"
tt7098658,Raazi,2018,7.7,"Action, Drama, Thriller","['Alia Bhatt', 'Vicky Kaushal', 'Rajit Kapoor', 'Shishir Sharma', 'Ashwath Bhatt']"
tt0104561,Jo Jeeta Wohi Sikandar,1992,8.1,"Comedy, Drama, Romance","['Aamir Khan', 'Ayesha Jhulka', 'Deepak Tijori', 'Pooja Bedi', 'Kulbhushan Kharbanda']"
tt3678782,Badlapur,2015,7.4,"Action, Crime, Drama","['Varun Dhawan', 'Nawazuddin Siddiqui', 'Yami Gautam', 'Huma Qureshi', 'Neel Tyagi']"
tt4635372,Masaan,2015,8.1,Drama,"['Richa Chadha', 'Sanjay Mishra', 'Vicky Kaushal', 'Pankaj Tripathi', 'Vineet Kumar']"
tt0795434,Namastey London,2007,7.1,"Comedy, Drama, Romance","['Akshay Kumar', 'Katrina Kaif', 'Rishi Kapoor', 'Clive Standen', 'Upen Patel']"
tt5956100,Tiger Zinda Hai,2017,5.9,"Action, Adventure, Thriller","['Salman Khan', 'Katrina Kaif', 'Nawab Shah', 'Anupriya Goenka', 'Paresh Rawal']"
tt1230165,Rock On!!,2008,7.7,"Drama, Music","['Arjun Rampal', 'Farhan Akhtar', 'Luke Kenny', 'Purab Kohli', 'Prachi Desai']"
tt0995031,Bhool Bhulaiyaa,2007,7.4,"Comedy, Horror, Mystery","['Akshay Kumar', 'Vidya Balan', 'Shiney Ahuja', 'Ameesha Patel', 'Manoj Joshi']"
tt0254481,Koi... Mil Gaya,2003,7.1,"Action, Drama, Romance","['Rekha', 'Hrithik Roshan', 'Preity G Zinta', 'Rajat Bedi', 'Prem Chopra']"
tt0118983,Dil To Pagal Hai,1997,7.0,"Comedy, Drama, Musical","['Shah Rukh Khan', 'Madhuri Dixit', 'Karisma Kapoor', 'Akshay Kumar', 'Farida Jalal']"
tt5286444,Neerja,2016,7.6,"Biography, Drama, Thriller","['Sonam Kapoor', 'Shabana Azmi', 'Yogendra Tikku', 'Abrar Zahoor', 'Jim Sarbh']"
tt4559006,Ae Dil Hai Mushkil,2016,5.8,"Drama, Music, Musical","['Ranbir Kapoor', 'Aishwarya Rai Bachchan', 'Anushka Sharma', 'Fawad Khan', 'Lisa Haydon']"
tt0323013,Lakshya,2004,7.8,"Action, Drama, Romance","['Hrithik Roshan', 'Preity G Zinta', 'Amitabh Bachchan', 'Om Puri', 'Sharad S. Kapoor']"
tt1926313,Pyaar Ka Punchnama,2011,7.6,"Comedy, Drama, Romance","['Kartik Aaryan', 'Ashish Chhipa', 'Raayo S. Bakhirta', 'Divyendu Sharma', 'Nushrratt Bharuccha']"
tt5764096,Hindi Medium,2017,7.8,"Comedy, Drama","['Irrfan Khan', 'Saba Qamar', 'Dishita Sehgal', 'Deepak Dobriyal', 'Swati Das']"
tt6826438,Parmanu: The Story of Pokhran,2018,7.6,"Action, Drama, History","['John Abraham', 'Boman Irani', 'Diana Penty', 'Anuja Sathe', 'Vikas Kumar']"
tt0433416,The Namesake,2006,7.5,Drama,"['Kal Penn', 'Irrfan Khan', 'Tabu', 'Jacinda Barrett', 'Zuleikha Robinson']"
tt6108090,Secret Superstar,2017,7.8,"Drama, Music","['Zaira Wasim', 'Meher Vij', 'Raj Arjun', 'Aamir Khan', 'Tirth Sharma']"
tt0488414,Omkara,2006,8.1,"Action, Crime, Drama","['Ajay Devgn', 'Kareena Kapoor', 'Saif Ali Khan', 'Konkona Sen Sharma', 'Vivek Oberoi']"
tt0060196,"The Good, the Bad and the Ugly",1966,8.8,"Adventure, Western","['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè', 'Luigi Pistilli']"
tt0110076,Hum Aapke Hain Koun..!,1994,7.5,"Comedy, Drama, Musical","['Madhuri Dixit', 'Salman Khan', 'Mohnish Behl', 'Renuka Shahane', 'Alok Nath']"
tt7581902,Sonu Ke Titu Ki Sweety,2018,7.1,"Comedy, Romance","['Kartik Aaryan', 'Nushrratt Bharuccha', 'Sunny Singh', 'Alok Nath', 'Madhumalti Kapoor']"
tt1084972,Wanted,2009,6.6,"Action, Crime, Thriller","['Salman Khan', 'Ayesha Takia', 'Prakash Raj', 'Vinod Khanna', 'Govind Namdeo']"
tt5997666,Jab Harry Met Sejal,2017,5.1,"Comedy, Drama, Romance","['Shah Rukh Khan', 'Anushka Sharma', 'Björn Freiberg', 'Bruce Huther', 'Attila G. Kerekes']"
tt2215477,RamLeela,2013,6.4,"Drama, Musical, Romance","['Ranveer Singh', 'Deepika Padukone', 'Supriya Pathak', 'Sharad Kelkar', 'Homi Wadia']"
tt0449999,Kabhi Alvida Naa Kehna,2006,6.0,"Drama, Romance","['Shah Rukh Khan', 'Rani Mukerji', 'Amitabh Bachchan', 'Abhishek Bachchan', 'Preity G Zinta']"
tt1434447,Rocket Singh: Salesman of the Year,2009,7.5,"Comedy, Drama","['Ranbir Kapoor', 'Prem Chopra', 'Mukesh S. Bhatt', 'D. Santosh', 'Naveen Kaushik']"
tt11649338,Black Friday,2021,4.7,"Comedy, Horror","['Devon Sawa', 'Ivana Baquero', 'Ryan Lee', 'Stephen Peck', 'Michael Jai White']"
tt0422091,Dhoom,2004,6.6,"Action, Crime, Drama","['Abhishek Bachchan', 'John Abraham', 'Uday Chopra', 'Esha Deol', 'Rimi Sen']"
tt3449292,Manjhi: The Mountain Man,2015,8.0,"Biography, Drama","['Nawazuddin Siddiqui', 'Radhika Apte', 'Ashutosh Acharya', 'Shahzad Ahmed', 'Aishwarya Arora']"
tt0432637,Krrish,2006,6.4,"Action, Adventure, Sci-Fi","['Hrithik Roshan', 'Priyanka Chopra Jonas', 'Rekha', 'Naseeruddin Shah', 'Sharat Saxena']"
tt8239946,Tumbbad,2018,8.2,"Drama, Fantasy, Horror","['Sohum Shah', 'Jyoti Malshe', 'Anita Date-Kelkar', 'Ronjini Chakraborty', 'Deepak Damle']"
tt0110222,Kabhi Haan Kabhi Naa,1994,7.6,"Comedy, Drama, Music","['Shah Rukh Khan', 'Suchitra Krishnamoorthi', 'Deepak Tijori', 'Rita Bhaduri', 'Satish Shah']"
tt3595298,Prem Ratan Dhan Payo,2015,4.4,"Action, Drama, Musical","['Salman Khan', 'Sonam Kapoor', 'Neil Nitin Mukesh', 'Deepak Dobriyal', 'Arman Kohli']"
